name,parent,myKey,geoLocation_lat,geoLocation_lon
QDC,null,101,,
Alison Jones Technical,QDC,102,22,88
Asia-Pacific Images: 1970s-1990s,QDC,103,12.61315,38.37723
CRC for Construction Innovation,QDC,104,-30,-58
Cilento Gift Scripts,QDC,105,-14.270972,-170.132217
Digital Yarning: 2016,QDC,106,28.033886,1.659626
QUT Alumni Donation,QDC,107,40.463667,-3.74922
QUT Conference Proceedings,QDC,108,35.907757,127.766922
QUT Film Screen & Animation,QDC,109,23.634501,-102.552784
QUT Landscape Architecture,QDC,103,,
QUT Publications,QDC,103,,
QUT Stories,QDC,103,,
QUT Visual Arts,QDC,103,,
Queensland Law,QDC,103,,
Sugar Industry Collection,QDC,103,,
Susan Caulfield-Leclercq Dance Programs,QDC,103,,
AJT All Items,Alison Jones Technical,103,,
AJT Performance,Alison Jones Technical,103,,
Image (1),AJT All Items,103,,
Other (52),AJT All Items,103,,
Technical Drawing (3),AJT All Items,103,,
Video (66),AJT All Items,103,,
A Chorus of Dissaproval (2),AJT Performance,103,,
Angels in America (1),AJT Performance,103,,
A Winters Tale (1),AJT Performance,103,,
Beijing Dance Festival (2),AJT Performance,103,,
Cherry Orchard (2),AJT Performance,103,,
Coast of Uptopia - Voyage (2),AJT Performance,103,,
Cosi (2),AJT Performance,103,,
Dance Graduation (10),AJT Performance,103,,
Dead Man's CellPhone (1),AJT Performance,103,,
Essentially Dance (3),AJT Performance,103,,
Hamlet (2),AJT Performance,103,,
Hot l Baltimore (2),AJT Performance,103,,
Julius Caeser (2),AJT Performance,103,,
Mnemonic (2),AJT Performance,103,,
QUT Acting - Breaking the Code 2017 (12),AJT Performance,103,,
QUT Technical Production (1),AJT Performance,103,,
Romeo & Juliet (1),AJT Performance,103,,
Season Of Contemporary American Plays (4),AJT Performance,103,,
Splendor in the Grass (1),AJT Performance,103,,
Standing By 17 (48),AJT Performance,103,,
Standing By - Technical Production Showcase 2015 (4),AJT Performance,103,,
Survival - Verbatim (2),AJT Performance,103,,
Technical Production Showcase (6),AJT Performance,103,,
The Laramie Project (2),AJT Performance,103,,
The Man Who Came to Dinner (2),AJT Performance,103,,
The Realistic Jonses (1),AJT Performance,103,,
The Seagull (2),AJT Performance,103,,
Waiting for Godot (1),AJT Performance,103,,
Winter Time (1),AJT Performance,103,,
Not specified (1),Asia-Pacific Images: 1970s-1990s,103,,
1960 (10),Asia-Pacific Images: 1970s-1990s,103,,
1969 (2),Asia-Pacific Images: 1970s-1990s,103,,
1970 (6),Asia-Pacific Images: 1970s-1990s,103,,
1972 (14),Asia-Pacific Images: 1970s-1990s,103,,
1973 (149),Asia-Pacific Images: 1970s-1990s,103,,
1974 (69),Asia-Pacific Images: 1970s-1990s,103,,
1975 (127),Asia-Pacific Images: 1970s-1990s,103,,
1976 (63),Asia-Pacific Images: 1970s-1990s,103,,
1977 (1),Asia-Pacific Images: 1970s-1990s,103,,
1978 (79),Asia-Pacific Images: 1970s-1990s,103,,
1979 (51),Asia-Pacific Images: 1970s-1990s,103,,
1980 (98),Asia-Pacific Images: 1970s-1990s,103,,
1981 (50),Asia-Pacific Images: 1970s-1990s,103,,
1982 (33),Asia-Pacific Images: 1970s-1990s,103,,
1983 (19),Asia-Pacific Images: 1970s-1990s,103,,
1984 (11),Asia-Pacific Images: 1970s-1990s,103,,
1985 (10),Asia-Pacific Images: 1970s-1990s,103,,
1986 (5),Asia-Pacific Images: 1970s-1990s,103,,
1987 (3),Asia-Pacific Images: 1970s-1990s,103,,
1988 (56),Asia-Pacific Images: 1970s-1990s,103,,
1989 (56),Asia-Pacific Images: 1970s-1990s,103,,
1990 (26),Asia-Pacific Images: 1970s-1990s,103,,
1991 (2),Asia-Pacific Images: 1970s-1990s,103,,
1997 (58),Asia-Pacific Images: 1970s-1990s,103,,
1999 (217),Asia-Pacific Images: 1970s-1990s,103,,
2000 (4),Asia-Pacific Images: 1970s-1990s,103,,
2001 (1),Asia-Pacific Images: 1970s-1990s,103,,
2002 (1),Asia-Pacific Images: 1970s-1990s,103,,
2003 (1),Asia-Pacific Images: 1970s-1990s,103,,
2005 (20),Asia-Pacific Images: 1970s-1990s,103,,
Article (17),CRC for Construction Innovation,103,,
Book (14),CRC for Construction Innovation,103,,
Book Section (2),CRC for Construction Innovation,103,,
Conference Paper (132),CRC for Construction Innovation,103,,
Other (61),CRC for Construction Innovation,103,,
Report (159),CRC for Construction Innovation,103,,
Review (1),CRC for Construction Innovation,103,,
Creative Business Document (6),Cilento Gift Scripts,103,,
Film Treatment (9),Cilento Gift Scripts,103,,
Image (3),Cilento Gift Scripts,103,,
Script (31),Cilento Gift Scripts,103,,
Video (21),Digital Yarning: 2016,103,,
QAD All Items,QUT Alumni Donation,103,,
Image (504),QAD All Items,103,,
QAD Stories,QUT Alumni Donation,103,,
RAH L'Estrange - Copies,QAD Stories,,,
Belguim,RAH L'Estrange - Copies,,,
Image - 1/1,Belguim,,,
Book,RAH L'Estrange - Copies,,,
Image - 1/1,Book,,,
Brisbane - 1/3,RAH L'Estrange - Copies,,,
Image - 1/163,Brisbane - 1/3,103,,
Image - 2/163,Brisbane - 1/3,103,,
Image - 3/163,Brisbane - 1/3,103,,
Image - 4/163,Brisbane - 1/3,103,,
Image - 5/163,Brisbane - 1/3,103,,
Image - 6/163,Brisbane - 1/3,103,,
Image - 7/163,Brisbane - 1/3,103,,
Image - 8/163,Brisbane - 1/3,103,,
Image - 9/163,Brisbane - 1/3,103,,
Image - 10/163,Brisbane - 1/3,103,,
Image - 11/163,Brisbane - 1/3,103,,
Image - 12/163,Brisbane - 1/3,103,,
Image - 13/163,Brisbane - 1/3,103,,
Image - 14/163,Brisbane - 1/3,103,,
Image - 15/163,Brisbane - 1/3,103,,
Image - 16/163,Brisbane - 1/3,103,,
Image - 17/163,Brisbane - 1/3,103,,
Image - 18/163,Brisbane - 1/3,103,,
Image - 19/163,Brisbane - 1/3,103,,
Image - 20/163,Brisbane - 1/3,103,,
Image - 21/163,Brisbane - 1/3,103,,
Image - 22/163,Brisbane - 1/3,103,,
Image - 23/163,Brisbane - 1/3,103,,
Image - 24/163,Brisbane - 1/3,103,,
Image - 25/163,Brisbane - 1/3,103,,
Image - 26/163,Brisbane - 1/3,103,,
Image - 27/163,Brisbane - 1/3,103,,
Image - 28/163,Brisbane - 1/3,103,,
Image -29/163,Brisbane - 1/3,103,,
Image - 30/163,Brisbane - 1/3,103,,
Image - 31/163,Brisbane - 1/3,103,,
Image - 32/163,Brisbane - 1/3,103,,
Image - 33/163,Brisbane - 1/3,103,,
Image - 34/163,Brisbane - 1/3,103,,
Image - 35/163,Brisbane - 1/3,103,,
Image - 36/163,Brisbane - 1/3,103,,
Image - 37/163,Brisbane - 1/3,103,,
Image - 38/163,Brisbane - 1/3,103,,
Image - 39/163,Brisbane - 1/3,103,,
Image - 40/163,Brisbane - 1/3,103,,
Image - 41/163,Brisbane - 1/3,103,,
Image - 42/163,Brisbane - 1/3,103,,
Image - 43/163,Brisbane - 1/3,103,,
Image - 44/163,Brisbane - 1/3,103,,
Image - 45/163,Brisbane - 1/3,103,,
Image - 46/163,Brisbane - 1/3,103,,
Image - 47/163,Brisbane - 1/3,103,,
Image - 48/163,Brisbane - 1/3,103,,
Image - 49/163,Brisbane - 1/3,103,,
